Focal,year,startdate,midDate,focgrp,ff_a1,ff_a2,ff_vg1,ff_vg2,ff_g1,ff_g2,fm_a1,fm_a2,fm_vg1,fm_vg2,fm_g1,fm_g2,obslact,obspreg,obsflat,obsswol,obsunkn,totalobs,obsinf91days,obsfs,notfs,CoresMDS
qp,2014,41640,41791,ENK,116,199,92,208,16,36,60,126,6,31,21,16,80,37,0,12,0,129,34,7,7,3
qp,2015,42005,42156,ENK,256,418,272,510,32,72,64,91,4,42,28,13,51,10,8,18,0,87,32,7,7,4
qp,2016,42370,42522,ENK,145,115,126,121,39,29,23,45,4,12,9,9,48,37,0,0,1,86,26,0,0,4
qp,2017,42736,42887,ENK,73,49,83,36,17,8,60,104,12,33,6,9,11,45,14,15,0,85,11,7,7,3
qz,2015,42005,42156,ENK,28,14,0,2,0,0,1,0,0,0,0,0,0,0,0,6,1,7,0,3,3,4
qz,2016,42370,42522,ENK,132,49,79,11,10,6,19,37,0,0,1,3,0,0,35,50,4,89,0,25,25,4
qz,2017,42736,42887,ENK,90,54,85,57,2,3,34,14,3,9,5,0,18,61,0,6,0,85,11,4,4,3
tj,2017,42736,42887,YNT,20,9,25,0,2,0,3,6,0,0,1,0,0,0,3,1,0,4,0,0,0,1
tm,2015,42005,42156,PHG,84,58,48,20,4,4,6,8,0,0,0,0,0,0,25,21,0,46,0,1,1,2
tr,2013,41275,41426,PHG,7,10,10,12,0,1,3,7,1,1,0,0,8,0,0,3,0,11,0,0,0,1
tr,2014,41640,41791,PHG,124,166,132,136,50,25,57,247,6,12,6,9,27,76,11,22,4,140,26,10,10,1
tr,2015,42005,42156,ENK,22,12,8,6,0,0,5,11,1,1,0,1,0,9,0,8,0,17,0,8,8,0
tr,2015,42005,42156,PHG,118,162,98,102,38,30,32,65,11,30,5,7,20,0,16,36,2,74,0,19,19,1
tr,2016,42370,42522,ENK,29,36,21,9,4,6,6,7,1,1,1,0,0,29,0,0,0,29,0,0,0,0
